adverse_event,ae_syns
Colitis,colitis
Colitis,colitis_disease
Colitis,colonic_inflammation
Colitis,colon_inflammation
Colitis,colitides
Uveitis,uveitis
Uveitis,disease_uveitis
Uveitis,uvea_inflammation
Uveitis,uveitis_nos
Uveitis,uveitides
Uveitis,uveal_inflammation
Neuropathy,neuropathy
Mucositis,mucositis
Mucositis,mucositides
Mucositis,mucosa_inflammation
Mucositis,mucosal_inflammation
Encephalitis,encephalitis
Encephalitis,brain_inflammation
Encephalitis,enc
Enteritis,enteritis
Enteritis,small_intestinal_enteritis
Enteritis,small_intestinal_inflammation
Enteritis,enteritides
Enteritis,small_intestine_inflammation
Pneumonitis,pneumonitis
Pneumonitis,pneumonitides
Pneumonitis,lung_parenchyma_inflammation
Thyroiditis,thyroiditis
Thyroiditis,thyroiditis_nos
Thyroiditis,thyroiditides
Thyroiditis,disease_thyroiditis
Thyroiditis,thyroid_gland_inflammation
Anemia,anemia
Anemia,disorders_anemia
Anemia,anemia_nos
Anemia,anaemia
Thrombocytopenia,thrombocytopenia
Thrombocytopenia,thrombocytopenic_disorders
Thrombocytopenia,low_platelet_count
Thrombocytopenia,thrombopenia
Thrombocytopenia,ttp
Thrombocytopenia,tcp
Hyperthyroidism,hyperthyroidism
Hyperthyroidism,overactive_thyroid
Hyperthyroidism,hyperthyroid
Hyperthyroidism,hyperthyreosis
Hyperthyroidism,htd
Aseptic meningitis,aseptic_meningitis
Aseptic meningitis,acute_aseptic_meningitis
Aseptic meningitis,aam
Dry mouth,dry_mouth
Myocarditis,myocarditis
Myocarditis,myocarditis_nos
Myocarditis,inflammatory_cardiomyopathy
Myocarditis,myocarditides
Myocarditis,myocardial_inflammation
Myocarditis,myocardium_inflammation
Hypothyroidism,hypothyroidism
Hypothyroidism,hypothyreosis
Hypothyroidism,underactive_thyroid
Hypothyroidism,low_thyroid
Hypothyroidism,thyroid_deficiency
Hypothyroidism,tsh_deficiency
Hypothyroidism,thyroid_insufficiency
Hypothyroidism,thyroid_stimulating_hormone_deficiency
SCAR events,SCAR events
Nephritis,nephritis
Nephritis,nephritis_nos
Nephritis,kidney_inflammation
Nephritis,inflammation_of_kidneys
Nephritis,nephritides
Autoimmune diabetes,autoimmune_diabetes
Hepatitis,hepatitis
Hepatitis,animal_hepatitis
Hepatitis,liver_inflammation
Hepatitis,acute_hepatitis
Hepatitis,hepatitides
Hepatitis,chronic_hepatitis
Hepatitis,chronic_persistent_hepatitis
Hepatitis,acute_and_subacute_necrosis_of_liver
Rash,rapid_screening_of_hazard
Rash,rash
Pancreatitis,pancreatitis
Pancreatitis,edema_pancreatic_parenchymal
Pancreatitis,pctt
Pancreatitis,pancreatic_inflammation
Pancreatitis,peripancreatic_fat_necrosis
Pancreatitis,acute_edematous_pancreatitis
Pancreatitis,pancreatitis_nos
Pancreatitis,pancreas_inflammation
Pancreatitis,pancreatitides
Vitiligo,vitiligo
Vitiligo,vitiligo_vulgaris
Vasculitis,vasculitis
Vasculitis,angiitides
Vasculitis,angiitis
Vasculitis,vasculitis_syndrome
Hypophysitis,hypophysitis
Hypophysitis,hypophysitides
Hypophysitis,pituitary_inflammation
Hypophysitis,pituitary_gland_inflammation
Arthralgia,arthralgia
Arthralgia,joint_aches
Arthralgia,joint_pain
Arthralgia,aches_joint
Adrenal insufficiency,adrenal_insufficiency
Adrenal insufficiency,hypoadrenalism
Adrenal insufficiency,adrenal_gland_hypofunction
