orig,syns,substrings
CD19,differentiation_antigen_cd19,
HER2,cluster_of_differentiation_340,
CD 38,CD 38,
ROS1,ros_oncogene_1,
MLH1,hnpcc2,
CD5,ensg00000110448,
ALK,anaplastic_lymphoma_kinase,
CD20,leukocyte_surface_antigen_leu_16,
MLH1,coca2,
MSH6,gtbp,
PDL1,b7h,
CD5,leu1,
CD5,cluster_of_differentiation_5,
MET,metabolic_equivalent,
ZAP70,zeta_chain_(tcr)_associated_protein_kinase_70kda,
KIT,karlsruhe_institute_of_technology,
HER2,human_epidermal_growth_factor_receptor_2,
MLH1,hmlh1,
EGFR,eger,
BRAF,braf1,
